clan_tag,clan_name,battle_day,day_status,actual_medals,projected_medals,historical_avg_medals,historical_expected_place,projected_place,projected_rank_movement,projected_defense_movement,projected_total_movement,projected_progress_end,finished_after_day,history_rows_used
#Y9202P9U,Galactic Kings,1,future,0.0,28980.41,,,,,,,,False,0
#Y9202P9U,Galactic Kings,2,future,0.0,28980.41,,,,,,,,False,0
#Y9202P9U,Galactic Kings,3,future,0.0,28980.41,,,,,,,,False,0
#Y9202P9U,Galactic Kings,4,future,0.0,28980.41,,,,,,,,False,0
