player_tag,player_name,war_id,race_date,clan_tag,fame,decks_used,previous_clan_rank,previous_clan_score,last_3_avg_clan_rank,last_3_avg_clan_score,clan_score_change,fame_per_deck,full_participation,participated,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_2_participation_rate,last_5_full_participation_rate,recent_active_wars,previous_war_fame,previous_war_decks,fame_trend,decks_change,last_3_fame_std,last_3_decks_std,previous_wars_count
#Y2RG8Y88G,manuel72,135-4-20260907T093204.000Z,2026-09-07 09:32:04,#98RVLCUY,0.0,0.0,1.0,5965.0,1.0,5945.0,20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#Y2URRJLLG,✨sNoxi木々,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#2J9QGUP,2200.0,12.0,1.0,7678.0,1.0,7659.666666666667,20.0,183.33333333333334,0,1,2700.0,13.333333333333334,12.0,201.38888888888889,1.0,1.0,0.3333333333333333,3.0,2400.0,12.0,100.0,0.0,608.276253029822,2.3094010767585034,3
#Y2URRJLLG,✨sNoxi木々,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#2J9QGUP,2900.0,16.0,1.0,7698.0,1.0,7678.0,20.0,181.25,1,1,2300.0,12.0,12.0,191.66666666666666,1.0,1.0,0.25,3.0,2200.0,12.0,-200.0,0.0,100.0,0.0,4
#Y2V9U80R9,ĐɆ₦ⱫⱫ,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#QUVCQ9,0.0,0.0,2.0,4989.0,4.0,5009.0,-20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#Y2V9U80R9,ĐɆ₦ⱫⱫ,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#QUVCQ9,0.0,0.0,3.0,4999.0,3.3333333333333335,4999.0,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
#Y2Y09JY9P,Mihai,134-3-20260803T095950.000Z,2026-08-03 09:59:50,#292G28YJ,1950.0,11.0,3.0,5061.0,4.0,5074.333333333333,-10.0,177.27272727272728,0,1,2933.3333333333335,16.0,16.0,183.33333333333334,1.0,1.0,1.0,3.0,2950.0,16.0,-200.0,0.0,225.4624876411447,0.0,3
#Y80099LPC,rswl,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#8Y9U9U2P,0.0,0.0,2.0,8774.0,2.3333333333333335,8774.0,-5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#Y80JPR0J0,D3¡N3R,135-4-20260907T093204.000Z,2026-09-07 09:32:04,#P2P2Y880,0.0,0.0,5.0,10635.0,5.0,10655.0,-20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
#Y80PLPPLJ,ダニエル⁠・daniqm,134-2-20260727T095905.000Z,2026-07-27 09:59:05,#YRQJUCR0,2300.0,14.0,4.0,4378.0,4.0,4383.0,-10.0,164.28571428571428,0,1,1116.6666666666667,8.0,8.0,93.75,0.6666666666666666,0.5,0.3333333333333333,2.0,0.0,0.0,-2200.0,-16.0,1100.3787226829377,8.0,3
#Y80PLPPLJ,ダニエル⁠・daniqm,134-3-20260803T093203.000Z,2026-08-03 09:32:03,#QVGQCR8R,0.0,0.0,3.0,4808.0,3.6666666666666665,4819.666666666667,-15.0,0.0,0,0,1500.0,10.0,7.0,100.59523809523809,0.75,0.5,0.25,2.0,2300.0,14.0,2300.0,14.0,1300.0,8.717797887081348,4
