player_tag,player_name,wars_observed,avg_fame,avg_decks,fame_std,decks_std,participation_rate,full_participation_rate,avg_efficiency,cluster,archetype_name,currently_member,rotation_eligible
#209JLQRPQ,Babsking,4,1450.0,7.0,1692.1386861996075,8.246211251235321,0.5,0.25,104.16666666666666,1,Inconsistent Contributor,1,1
#22UC0QQGU,E17,7,2264.285714285714,12.0,1099.5128791553882,5.656854249492381,0.8571428571428571,0.42857142857142855,161.75595238095235,1,Inconsistent Contributor,0,1
#292LQCL92,Moath_LY,3,1616.6666666666667,8.0,1402.0817855365403,6.928203230275509,0.6666666666666666,0.0,134.72222222222226,1,Inconsistent Contributor,0,1
#2LPQUJV8Q,寒冰法師❦tzu,6,2358.3333333333335,12.666666666666666,662.1304000472012,3.011090610836324,1.0,0.3333333333333333,185.06944444444446,0,Reliable High Performer,0,1
#2P9LU2YUU,Drew62,7,2500.0,13.714285714285714,513.9714648369759,2.138089935299395,1.0,0.42857142857142855,182.29166666666669,0,Reliable High Performer,1,1
#2UVCJPPG,Alim,7,2614.285714285714,13.142857142857142,247.84787961282103,1.9518001458970664,1.0,0.2857142857142857,200.5952380952381,0,Reliable High Performer,1,1
#2VYLGPPUV,Nadir,7,2271.4285714285716,12.857142857142858,682.4326235712107,2.794552524023087,1.0,0.2857142857142857,174.468537414966,0,Reliable High Performer,1,1
#8PPP02LPP,I AM SOO COOL,9,1466.6666666666667,7.111111111111111,1288.1673027988252,6.253887679764573,0.6666666666666666,0.1111111111111111,138.42592592592595,1,Inconsistent Contributor,1,1
#8QR0CRVL0,hog rider,10,1045.0,5.6,814.9471693851626,4.2998707990925595,0.8,0.0,148.54166666666669,2,Low-Participation Player,0,1
#8R8CYV8QP,Esdeath,3,2750.0,14.666666666666666,589.4913061275798,2.3094010767585034,1.0,0.6666666666666666,187.5,0,Reliable High Performer,1,1
#8RQCGY8CQ,GK｜Logan,10,1960.0,9.6,1060.8696642116054,5.399588461684423,0.9,0.2,187.60416666666669,1,Inconsistent Contributor,1,1
#8UR9GLUG,shriyawn,7,2464.285714285714,13.714285714285714,355.5679561329612,2.138089935299395,1.0,0.42857142857142855,180.05952380952382,0,Reliable High Performer,1,1
#8V2Q2GVGU,polski koks,7,1771.4285714285713,8.0,1688.8993316302046,7.659416862050705,0.5714285714285714,0.2857142857142857,126.78571428571429,1,Inconsistent Contributor,1,1
#8YGLJYV92,Akren,4,2387.5,15.0,713.413157527483,2.0,1.0,0.75,159.375,0,Reliable High Performer,1,1
#9002L2R9R,JSN✨,4,1612.5,9.0,1181.365735071066,6.831300510639732,0.75,0.25,136.19791666666666,1,Inconsistent Contributor,1,1
#90PYC2P2,▁ ▂ ▃ ▄ ▅ ▆ █ Ⓓ,7,1892.857142857143,9.714285714285714,1344.8756359569002,6.8729975438737965,0.7142857142857143,0.2857142857142857,139.28571428571428,1,Inconsistent Contributor,1,1
#99V29PPLU,▁ ▂ ▃ ▄ ▅ ▆ █Ⓣ,7,1150.0,6.857142857142857,1455.1632210855248,8.55235974119758,0.42857142857142855,0.42857142857142855,71.875,1,Inconsistent Contributor,1,1
#9GLQUU0C,aattcc,5,2490.0,12.0,829.4576541331088,4.0,1.0,0.4,207.91666666666669,0,Reliable High Performer,1,1
#9RG0VPUVY,batan,7,2257.1428571428573,11.142857142857142,1155.9370554621373,5.639993245521116,0.8571428571428571,0.2857142857142857,174.0221088435374,1,Inconsistent Contributor,1,1
#9RQ8YRYQL,老板 Ι Batan’宙斯,7,1814.2857142857142,8.571428571428571,1332.2019009001244,6.294366339755546,0.7142857142857143,0.14285714285714285,151.78571428571428,1,Inconsistent Contributor,0,1
#9RU0GR8J,LionGalaxy,6,1841.6666666666667,9.333333333333334,1235.4823619407389,6.022181221672648,0.8333333333333334,0.16666666666666666,160.76388888888889,1,Inconsistent Contributor,0,1
#9RY8GQJQU,『PHX』Marcel✨Nay,3,1716.6666666666667,9.333333333333334,1435.5602855099235,6.110100926607787,1.0,0.3333333333333333,166.66666666666666,1,Inconsistent Contributor,0,1
#9UY8L0UJG,hog❤️,5,730.0,4.0,713.7926869897169,4.0,0.6,0.0,111.25,2,Low-Participation Player,0,1
