cluster,archetype_name,players,avg_wars_observed,avg_fame,avg_decks,participation_rate,full_participation_rate,avg_efficiency,fame_std,decks_std,behavior_score
0,Reliable High Performer,22,6.409090909090909,2562.4242424242425,13.761904761904761,1.0,0.4775974025974026,186.77168193909264,525.2311076685742,2.2028614558926205,6.738248614579027
1,Inconsistent Contributor,23,6.304347826086956,1728.5921325051759,9.010351966873706,0.7162353347135956,0.28442028985507245,136.14102192809491,1351.5106456503868,6.8556167886073975,-0.6731544080644194
2,Low-Participation Player,7,6.428571428571429,617.0918367346939,3.5142857142857147,0.482312925170068,0.0,85.359268707483,745.1551505559155,4.188460167239311,-6.065094206514609
