clan_tag,clan_name,forecast_pool_players,current_members,ml_players,expected_daily_participants,base_predicted_fame,capacity_adjusted_fame,average_adjusted_fame,clan_baseline,limited_history,ml_model,ml_coverage
#9VLJRY2J,Gentleman Jack,49,49,48,32.30522038908063,90497.36797690405,90497.36797690405,1846.8850607531438,1,0,48,0.9795918367346939
#J29J90P,isao,46,46,40,33.54794936639703,94653.75869175504,94653.75869175502,2057.6904063425004,0,6,40,0.8695652173913043
#LUG9LVC0,37XU,50,50,45,41.33941277550739,105010.46079998276,105010.46079998276,2100.209215999655,3,2,45,0.9
#Y9202P9U,Galactic Kings,73,42,62,49.99999999999999,112923.72150766972,115921.62447713647,1587.9674585909106,1,10,62,0.8493150684931506
#YV8JLPC2,ILLUMINATI 2.0,49,49,41,46.42291314696019,124250.823284612,124250.823284612,2535.731087441061,4,4,41,0.8367346938775511
