clan_tag,clan_name,war_id,race_date,season_id,section_index,rank_position,fame,clan_score,trophy_change,is_colosseum,roster_size,active_players,full_participation_players,total_player_fame,total_decks_used,avg_player_fame,avg_decks_used,participation_rate,full_participation_rate,previous_clan_fame,previous_clan_rank,previous_clan_score,previous_active_players,previous_participation_rate,previous_total_decks,last_3_avg_clan_fame,last_3_avg_clan_rank,last_3_avg_clan_score,last_3_avg_active_players,last_3_avg_participation_rate,last_3_avg_total_decks,clan_fame_trend,clan_score_change,active_players_change,previous_wars_count
#8Y2G0ULP,DesTroy,135-4-20260907T095204.000Z,2026-09-07 09:52:04,135,4,3,141250,6690,12,1,98,54,45,141250,800,1441.3265306122448,8.16326530612245,0.5510204081632653,0.45918367346938777,8569.0,2.0,6680.0,56.0,0.5894736842105263,612.0,8016.333333333333,2.0,6670.0,55.666666666666664,0.6271125899220774,603.0,829.0,10.0,0.0,4
#Q982YYRL,Yaris DIAMOND,135-4-20260907T095204.000Z,2026-09-07 09:52:04,135,4,4,126950,5075,-50,1,101,55,43,126950,794,1256.930693069307,7.861386138613861,0.5445544554455446,0.42574257425742573,4784.0,4.0,5085.0,54.0,0.6067415730337079,800.0,4755.333333333333,4.0,5095.0,54.666666666666664,0.7237482593873045,799.6666666666666,482.0,-10.0,-1.0,4
#QYJ2YQR8,Maratonci 2,135-4-20260907T095204.000Z,2026-09-07 09:52:04,135,4,2,141250,5179,12,1,80,57,42,141250,800,1765.625,10.0,0.7125,0.525,6891.0,3.0,5184.0,54.0,0.72,795.0,6530.333333333333,3.0,5189.0,56.0,0.779685737308622,796.3333333333334,995.0,-5.0,-3.0,4
#RJ09V0J,Akadios,135-4-20260907T095204.000Z,2026-09-07 09:52:04,135,4,5,121100,5019,-100,1,69,51,47,121100,795,1755.072463768116,11.521739130434783,0.7391304347826086,0.6811594202898551,3540.0,5.0,5039.0,53.0,0.8153846153846154,734.0,3550.6666666666665,5.0,5059.0,50.0,0.8292661361626879,684.0,368.0,-20.0,7.0,4
#Y9202P9U,Galactic Kings,135-4-20260907T095204.000Z,2026-09-07 09:52:04,135,4,1,145950,9764,100,1,113,64,39,145950,798,1291.5929203539822,7.061946902654867,0.5663716814159292,0.34513274336283184,9142.0,1.0,9744.0,57.0,0.5643564356435643,747.0,9714.0,1.0,9724.0,56.666666666666664,0.6288353057891714,650.6666666666666,-858.0,20.0,-1.0,8
