live_race_id,player_tag,player_name,clan_tag,clan_name,current_fame,current_decks_used,decks_used_today,currently_member,previous_wars_count,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_5_full_participation_rate,previous_war_fame,previous_war_decks,fame_trend,last_3_fame_std,last_3_decks_std,previous_clan_score,last_3_avg_clan_score,cluster,archetype_name,model_eligible,prediction_tier,rotation_eligible,linear_predicted_fame,participation_probability,predicted_participation,predicted_active_decks,predicted_efficiency,hard_predicted_fame,expected_predicted_fame,final_predicted_fame,daily_participation_weight,capacity_adjusted_fame,expected_daily_fame,active_day_fame_potential,reliability_score,optimization_score,rotation_rank,recommended_status
Y9202P9U-20260914-section-1,#QJPGQPU,Storm,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2916.6666666666665,16.0,16.0,182.29166666666663,1.0,1.0,2150.0,16.0,-1050.0,671.4412359494562,0.0,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2547.7242458324013,0.7557192543016239,1.0,14.615843915343918,182.29166666666663,2664.346547067901,2013.4979857512608,2606.035396450151,0.7774353861764167,2680.9216826173447,651.5088491125377,862.1043402084691,0.7557192543016239,651.5164063050807,1,START
Y9202P9U-20260914-section-1,#C9Q20CLGY,❤️ Ana Luiza ❤️,#Y9202P9U,Galactic Kings,0,0,0,1,1.0,2500.0,12.0,12.0,208.33333333333337,1.0,0.0,2500.0,12.0,0.0,,,9864,9790.666666666666,,Not Enough History,False,limited_history,1,,1.0,,,,,,2500.0,1.0,2500.0,625.0,625.0,1.0,625.01,2,START
Y9202P9U-20260914-section-1,#ULVP8GRR0,Sightless™ I 強的,#Y9202P9U,Galactic Kings,0,0,0,0,3.0,3150.0,14.666666666666666,14.0,215.625,1.0,0.6666666666666666,2700.0,12.0,-550.0,409.2676385936225,2.3094010767585034,9864,9790.666666666666,,Not Enough History,True,ml_model,1,2295.792119174706,0.7238030966575887,1.0,11.87349254449254,215.625,2560.221829906204,1853.0964886164688,2428.0069745404553,0.7446020949746622,2497.777487005118,607.0017436351138,838.6282767207746,0.7238030966575887,607.0089816660804,3,START
Y9202P9U-20260914-section-1,#P8JUY99V,The Jonkler,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2983.3333333333335,14.666666666666666,14.0,200.69444444444449,1.0,0.6,2050.0,12.0,-1250.0,822.0908303425682,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2382.8086198295587,0.6941710733623053,1.0,11.479854737854732,200.69444444444449,2303.9430689166797,1599.3306331155354,2343.375844373119,0.7141185743515889,2410.714420939675,585.8439610932797,843.9475275967212,0.6941710733623053,585.8509028040133,4,START
Y9202P9U-20260914-section-1,#U8Q9CGYU,⚡Agustin⚡,#Y9202P9U,Galactic Kings,0,0,0,0,10.0,2983.3333333333335,14.666666666666666,14.0,203.81944444444449,1.0,0.4,2500.0,12.0,-1000.0,500.83264004389065,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2222.239850233582,0.8350015298489201,1.0,11.85016426166426,203.81944444444449,2415.2938963878205,2016.7740985185892,2318.766873310701,0.8589958944686358,2385.39829353864,579.6917183276753,694.2403068801096,0.8350015298489201,579.7000683429737,5,START
Y9202P9U-20260914-section-1,#8R8CYV8QP,Esdeath,#Y9202P9U,Galactic Kings,0,0,0,1,6.0,2750.0,14.666666666666666,16.0,187.5,1.0,0.4,2600.0,16.0,-800.0,589.4913061275798,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2382.6184117086004,0.8619716790218874,1.0,11.98410485810486,187.5,2247.019660894661,1936.867309896563,2314.8190363016306,0.886741050117605,2381.3370126168716,578.7047590754077,671.3732865702575,0.8619716790218874,578.7133787921979,6,START
Y9202P9U-20260914-section-1,#C222JLCG,⭐PRO⭐,#Y9202P9U,Galactic Kings,0,0,0,0,1.0,2300.0,12.0,12.0,191.66666666666663,1.0,0.0,2300.0,12.0,0.0,,,9864,9790.666666666666,,Not Enough History,False,limited_history,1,,1.0,,,,,,2300.0,1.0,2300.0,575.0,575.0,1.0,575.01,7,START
Y9202P9U-20260914-section-1,#9GLQUU0C,aattcc,#Y9202P9U,Galactic Kings,0,0,0,1,8.0,2800.0,13.333333333333334,12.0,210.41666666666663,1.0,0.4,1700.0,8.0,-1600.0,953.9392014169456,4.618802153517006,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2029.561933167602,0.5042466699297167,1.0,12.072798460798452,210.41666666666663,2540.3180094596737,1280.946896832527,2284.9399713136377,0.5187365577012519,2350.599351381818,571.2349928284094,1132.8483198670003,0.5042466699297167,571.2400352951087,8,START
Y9202P9U-20260914-section-1,#U8L88PUJU,for nothing!,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,3050.0,14.666666666666666,14.0,209.375,1.0,0.4,2700.0,12.0,-350.0,350.0,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2182.295580874013,0.8607911789816352,1.0,11.385399350649354,209.375,2383.8179890422084,2051.9694972652733,2283.0567849581107,0.8855266275665705,2348.6620503229688,570.7641962395277,663.0692904111472,0.8607911789816352,570.7728041513175,9,START
Y9202P9U-20260914-section-1,#22UC0QQGU,E17,#Y9202P9U,Galactic Kings,0,0,0,0,10.0,2833.3333333333335,14.666666666666666,14.0,191.66666666666663,1.0,0.4,2100.0,12.0,-800.0,702.3769168568493,2.3094010767585034,9864,9790.666666666666,0.0,Inconsistent Contributor,True,ml_model,1,2207.5432980505393,0.7213187428882443,1.0,12.234335571835569,191.66666666666663,2344.91431793515,1691.4306479936272,2276.228807992845,0.7420463515275088,2341.637866568777,569.0572019982112,788.9122632799473,0.7213187428882443,569.0644151856401,10,START
