live_race_id,player_tag,player_name,clan_tag,clan_name,current_fame,current_decks_used,decks_used_today,currently_member,previous_wars_count,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_5_full_participation_rate,previous_war_fame,previous_war_decks,fame_trend,last_3_fame_std,last_3_decks_std,previous_clan_score,last_3_avg_clan_score,cluster,archetype_name,model_eligible,prediction_tier
Y9202P9U-20260914-section-1,#9JRRL2R0J,BBB I cool,#9VLJRY2J,Gentleman Jack,0,0,0,0,6.0,1716.6666666666667,8.0,10.0,204.16666666666666,1.0,0.2,650.0,4.0,-2950.0,1635.7974609753292,6.928203230275509,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9L2ULLPJG,yeuhu22,#YV8JLPC2,ILLUMINATI 2.0,0,0,0,1,3.0,2383.3333333333335,16.0,16.0,148.95833333333334,1.0,1.0,2550.0,16.0,500.0,288.67513459481285,0.0,4877,4890.333333333333,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9LJLGQQG9,KM I ⏳Elrob⌛️,#9VLJRY2J,Gentleman Jack,0,0,0,1,8.0,1933.3333333333333,12.0,10.0,177.08333333333334,1.0,0.8,900.0,4.0,-2400.0,1234.2339054382412,6.928203230275509,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9LVLLGGLR,♤Chaelso♤,#YV8JLPC2,ILLUMINATI 2.0,0,0,0,1,1.0,2700.0,16.0,16.0,168.75,1.0,1.0,2700.0,16.0,0.0,,,4877,4890.333333333333,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#9LYQVCQJU,敗北者じゃけーパンケーキ,#J29J90P,isao,0,0,0,1,5.0,1916.6666666666667,10.666666666666666,16.0,119.79166666666667,0.6,0.4,2250.0,16.0,-1250.0,1773.649721149397,9.237604307034013,5098,5038.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9P00QC2G,ELENA,#J29J90P,isao,0,0,0,1,10.0,1933.3333333333333,10.666666666666666,16.0,120.83333333333333,0.6,0.4,2900.0,16.0,0.0,1674.3157806499148,9.237604307034013,5098,5038.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9PGGRC8J,Lenipofeni,#9VLJRY2J,Gentleman Jack,0,0,0,1,12.0,1733.3333333333333,8.0,12.0,143.75,0.4,0.2,1700.0,8.0,-1800.0,1750.2380790433435,8.0,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9RG0VPUVY,batan,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,1633.3333333333333,8.0,12.0,137.5,0.8,0.2,1700.0,8.0,-1500.0,1601.0413278030437,8.0,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
Y9202P9U-20260914-section-1,#9RL20UL0G,まさっち,#J29J90P,isao,0,0,0,1,10.0,2233.3333333333335,10.666666666666666,16.0,139.58333333333334,0.6,0.4,3300.0,16.0,-100.0,1934.769581457527,9.237604307034013,5098,5038.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9RQ8YRYQL,老板 Ι Batan’宙斯,#Y9202P9U,Galactic Kings,0,0,0,0,10.0,600.0,2.6666666666666665,4.0,75.0,0.6,0.0,1800.0,8.0,1800.0,1039.2304845413264,4.618802153517007,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
